"filename", "language", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"d:\Code_Project\00_DoAn\PhotoHub-User\PhotoHub-User\redux\actions\collection.js", "JavaScript", 254, 0, 0, 0, 35, 289
"d:\Code_Project\00_DoAn\PhotoHub-User\PhotoHub-User\redux\actions\list_image.js", "JavaScript", 46, 0, 0, 0, 6, 52
"d:\Code_Project\00_DoAn\PhotoHub-User\PhotoHub-User\redux\actions\login.js", "JavaScript", 60, 0, 0, 0, 9, 69
"d:\Code_Project\00_DoAn\PhotoHub-User\PhotoHub-User\redux\actions\user.js", "JavaScript", 43, 0, 0, 0, 6, 49
"d:\Code_Project\00_DoAn\PhotoHub-User\PhotoHub-User\redux\reducers\collection.js", "JavaScript", 98, 0, 0, 27, 22, 147
"d:\Code_Project\00_DoAn\PhotoHub-User\PhotoHub-User\redux\reducers\list_image.js", "JavaScript", 51, 0, 0, 4, 5, 60
"d:\Code_Project\00_DoAn\PhotoHub-User\PhotoHub-User\redux\reducers\login.js", "JavaScript", 32, 0, 0, 0, 6, 38
"d:\Code_Project\00_DoAn\PhotoHub-User\PhotoHub-User\redux\reducers\root-reducer.js", "JavaScript", 31, 0, 0, 0, 4, 35
"d:\Code_Project\00_DoAn\PhotoHub-User\PhotoHub-User\redux\reducers\user.js", "JavaScript", 24, 0, 0, 0, 3, 27
"d:\Code_Project\00_DoAn\PhotoHub-User\PhotoHub-User\redux\store\store.js", "JavaScript", 7, 0, 0, 1, 4, 12
"d:\Code_Project\00_DoAn\PhotoHub-User\PhotoHub-User\utils\axios.js", "JavaScript", 26, 0, 0, 0, 5, 31
"d:\Code_Project\00_DoAn\PhotoHub-User\PhotoHub-User\utils\custom-hook.js", "JavaScript", 30, 0, 0, 3, 8, 41
"d:\Code_Project\00_DoAn\PhotoHub-User\PhotoHub-User\utils\decode-polyline.js", "JavaScript", 147, 0, 0, 10, 31, 188
"d:\Code_Project\00_DoAn\PhotoHub-User\PhotoHub-User\utils\f.js", "JavaScript", 67, 0, 0, 0, 15, 82
"d:\Code_Project\00_DoAn\PhotoHub-User\PhotoHub-User\utils\gradient.js", "JavaScript", 50, 0, 0, 0, 7, 57
"d:\Code_Project\00_DoAn\PhotoHub-User\PhotoHub-User\utils\map.js", "JavaScript", 20, 0, 0, 1, 2, 23
"d:\Code_Project\00_DoAn\PhotoHub-User\PhotoHub-User\utils\notification.js", "JavaScript", 33, 0, 0, 0, 5, 38
"Total", "-", 7641, 75, 464, 247, 885, 9312
